Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço à vista;Nota Geral;Qtd. Avaliações;Nota Comentário;Data Comentário;Comentário;Link
11;11;ELETRODOMÉSTICOS;MLB25850957;Grill Sanduicheira Cadence San400 Elétrica Chapa Misteira Tostex Tostequeira Hambúrguer Click;118,92;4,9;40056;5;30/09/2023;Eu adorei, muito bonitinha. Já testei com o ovo demora um pouco mas cumpre o que promete 😍.;https://www.mercadolivre.com.br/grill-sanduicheira-cadence-san400-eletrica-chapa-misteira-tostex-tostequeira-hamburguer-click/p/MLB25850957
12;12;ELETRODOMÉSTICOS;MLB23370534;Ventilador De Parede E Mesa 180w 50cm 2 Em 1 Wap Flow Turbo;196,00;4,7;32957;4;31/10/2023;"Ótimo ventilador, eu adoro os produtos da wap. Já tinha um aspirador que acho de boa qualidade e agora tenho o ventilador ""gigante"" que parece um furacão de tão forte! rsrs. Esse wap flow turbo tem 50cm, então ele é um pouco maior do que outros de 40cm que é mais popular nas lojas. E ele tem 180w de potência, que é bastante coisa comparado com a média de 100w dos ventiladores populares. A montagem é bem fácil, basta seguir o manual. Ao ligar, você se assusta, porque a menor velocidade dele já é forte demais, eu me lembro que a minha esposa estava segurando o manual e eles simplesmente saiu voando da mão dela! hahaha. Em termos de barulho, ele é barulhento sim. Até no mais fraco. Se deixar ele no mínimo da pra dormir, mas pra quem gosta de ""silêncio"", esse não é a melhor solução. Porém ele é potente, muito potente, e venta muito bem e isso pode compensar em dias de muito calor em lugares grandes. Meu cunhado tem um mondial turbo de 50cm que só faz barulho e não venta absolutamente nada, terrível, a 2 metros você não sente o vento do ventilador. Fiquei com medo desse wap turbo ser assim também, mas não é. Ele faz bastante vento e é ótimo para deixar perto da janela puxando o ar fresco de fora pra dentro de casa. Eu recomendo, podem ir sem medo que o produto é bom. Tirando o fato do barulho na velocidade média e máxima, ele é ótimo.";https://www.mercadolivre.com.br/ventilador-de-parede-e-mesa-180w-50cm-2-em-1-wap-flow-turbo/p/MLB23370534
13;1;BELEZA E CUIDADO PESSOAL;MLB43982575;Kit 2 Pacotes Cabelo Jumbo Super X Para Tranças 400g + Anéis Cor Mel Com Loiro T27/613;39,98;4,7;8037;5;24/10/2023;Top top.;https://www.mercadolivre.com.br/kit-2-pacotes-cabelo-jumbo-super-x-para-trancas-400g-aneis-cor-mel-com-loiro-t27613/p/MLB43982575
14;2;BELEZA E CUIDADO PESSOAL;MLB46403448;Cabelo Cacheado Na Tela 70cm Fibra De Colágeno Be.you Meu Bb Cor Castanho Escuro;134,90;4,8;1802;5;14/12/2024;Muito leve e macio, 1 pacote faz a cabeça toda. Amei 😉🫶.;https://www.mercadolivre.com.br/cabelo-cacheado-na-tela-70cm-fibra-de-colageno-beyou-meu-bb-cor-castanho-escuro/p/MLB46403448
15;3;BELEZA E CUIDADO PESSOAL;MLB43400403;Cabelo Boho Curl Jumbo Para Trança Com Cacho Nas Pontas 60cm Cor Mel 27;73,90;4,8;2065;5;11/02/2024;Muito bom veio 5 pct em um só perfeito amei usei e ainda ficou 2pct.;https://www.mercadolivre.com.br/cabelo-boho-curl-jumbo-para-tranca-com-cacho-nas-pontas-60cm-cor-mel-27/p/MLB43400403
16;4;BELEZA E CUIDADO PESSOAL;MLB57581880;2 Pacotes Cabelo Jumbo African Beauty Para Tranças Box Braid Cor Dourado #30;43,47;4,9;345;5;14/11/2025;Eu ameii demaisss, minha cliente também amou, essa marca de jumbo é perfeitaa, pq já vem desfiada, e a cor ficou maravilhosa, vou concerteza comprar mais vezes.;https://www.mercadolivre.com.br/2-pacotes-cabelo-jumbo-african-beauty-para-trancas-box-braid-cor-dourado-30/p/MLB57581880
17;5;BELEZA E CUIDADO PESSOAL;MLB29391193;Pigmento Iron Works 15ml Magenta;156,04;4,9;2394;5;05/03/2024;Eu amo os pigmentos da iron work há 7 anos só uso essa marca pq a pigmentação é muito boa. Tem uma pigmentação quente que com o passar do tempo mesmo que passe do tempo pra retocar não muda a cor. Eu amo.;https://www.mercadolivre.com.br/pigmento-iron-works-15ml-magenta/p/MLB29391193
18;6;BELEZA E CUIDADO PESSOAL;MLB45379333;Kit Tranças Gypsy 2 Jumbo 400 Gramas Cabelo Sintético + 1 Nina Softex + Anéis Cor Preto #1 - Sx;63,74;4,7;3952;5;14/08/2023;Segunda vez que uso o nina e sem arrependimento nenhum, amei demais. Comprem!!!!.;https://www.mercadolivre.com.br/kit-trancas-gypsy-2-jumbo-400-gramas-cabelo-sintetico-1-nina-softex-aneis-cor-preto-1-sx/p/MLB45379333
19;7;BELEZA E CUIDADO PESSOAL;MLB57501472;2 Pacotes Cabelo Jumbo Gypsy Fulani + 1 Cacheado Organico Cor Preto;148,78;4,6;542;5;10/02/2025;;https://www.mercadolivre.com.br/2-pacotes-cabelo-jumbo-gypsy-fulani-1-cacheado-organico-cor-preto/p/MLB57501472
20;8;BELEZA E CUIDADO PESSOAL;MLB47065425;Cabelo 100% Orgânico Cacheado - Elma - Super Star Cor 168;53,20;4,6;2839;5;04/07/2023;Eu amei de mais tô aqui me achando com ele 😍😍. Comprem manaas super indico ❤️.;https://www.mercadolivre.com.br/cabelo-100-orgnico-cacheado-elma-super-star-cor-168/p/MLB47065425
21;9;BELEZA E CUIDADO PESSOAL;MLB24388788;Corretivo Camuflagem Catharine Hill Angel Wings Pri Lessa Tom A1 Com 8ml Alta Cobertura;46,90;4,8;2341;5;05/09/2024;O corretivo é maravilhoso, não precisa de muito produto pra camuflar as olheiras. Tenho outros produtos dessa marca e todos são ótimos, melhores que muitos produtos importados.;https://www.mercadolivre.com.br/corretivo-camuflagem-catharine-hill-angel-wings-pri-lessa-tom-a1-com-8ml-alta-cobertura/p/MLB24388788
22;10;BELEZA E CUIDADO PESSOAL;MLB44666114;Cabelo Nina Softex Fibra Sintética Crochet Braids Cor T1b/pink;23,74;4,6;688;5;30/12/2024;Muito bom pelo valor amei.;https://www.mercadolivre.com.br/cabelo-nina-softex-fibra-sintetica-crochet-braids-cor-t1bpink/p/MLB44666114
23;1;CELULARES E TELEFONES;MLB56998903;Pulseira Poolsy Nylon 18, 20, 22, 24mm Relógio Digital C7 Cor Preta 20mm;35,84;4,6;2106;4;03/12/2022;A pulseira é bonita, de boa qualidade, leve e fácil de colocar. Compatível com o relógio. Porém, não indico para uso no dia a dia, porque o imã escorrega e folga no punho. Durante grandes movimentações como exercícios físicos o relógio pode cair e danificar ou acabar sendo perdido. Ao longo da noite a pulseira também escorrega. Acordei com o relógio fora do braço, em cima da cama. Tirando essas observações, a pulseira é uma ótima escolha para combinar com anéis e outras bijuterias e eu gostei bastante para usar quando eu for sair no fim de semana um pouco mais arrumada.;https://www.mercadolivre.com.br/pulseira-poolsy-nylon-18-20-22-24mm-relogio-digital-c7-cor-preta-20mm/p/MLB56998903
24;2;CELULARES E TELEFONES;MLB50874533;Pulseira Fecho Silicone Respirável Para Galaxy Watch 4 5 6 7 Azul Marinho;24,25;4,7;1031;5;23/02/2025;;https://www.mercadolivre.com.br/pulseira-fecho-silicone-respiravel-para-galaxy-watch-4-5-6-7-azul-marinho/p/MLB50874533
25;3;CELULARES E TELEFONES;MLB37550775;Capa Capinha Silicone Aveludada Para Galaxy A05s / A15 / A55 Cor Preto Galaxy A55;28,40;4,6;1963;5;28/11/2024;Venho aqui pedir desculpas pelo comentário negativo que fiz posteriormente sobre o produto. A minha esposa recebeu o produto e me enviou mensagem falando que a capinha era ruim, por não servir no celular. Quando na verdade fui eu que fiz o pedido errado! o cl da minha é a32, e a capinha é para o a32g. O produto é de ótima qualidade, eu recomendo a quem interessar.;https://www.mercadolivre.com.br/capa-capinha-silicone-aveludada-para-galaxy-a05s-a15-a55-cor-preto-galaxy-a55/p/MLB37550775
26;4;CELULARES E TELEFONES;MLB62589909;Motorola Moto G15 512gb 12gb Ram ( 4+8 Boost ) Azul-escuro;1185,00;4,8;75593;5;03/02/2025;Gostei muito do produto, até achei uma configuração 8 gb+ 8 gb, 16 gb de memória ram. E a qualidade da motorola sempre é ótima!. Recomendo!.;https://www.mercadolivre.com.br/motorola-moto-g15-512gb-12gb-ram-48-boost-azul-escuro/p/MLB62589909
27;5;CELULARES E TELEFONES;MLB55323897;Câmera Xiaomi Redmi 15c 6.9 4g 128gb 4gb Ram Hyperos 50mpx - Moonlight Blue;739,90;4,8;752;4;12/11/2025;Ó celular redmi256gb e muito bom mais os brindes e pura enganação o fone de ouvido não funciona o relógio tem como carregar não mandaram o cabo de carregar propaganda enganosa só o celular e top muito bom gostei.;https://www.mercadolivre.com.br/cmera-xiaomi-redmi-15c-69-4g-128gb-4gb-ram-hyperos-50mpx-moonlight-blue/p/MLB55323897
28;6;CELULARES E TELEFONES;MLB55519060;Pulseira Silicone Para Amazfit Bip, Bip U, Pro, Bip Lite, S Cor Preto;26,63;4,6;348;5;01/11/2024;Mandaram a de silicone ao invés da de nylon, mas serviu da mesma forma.;https://www.mercadolivre.com.br/pulseira-silicone-para-amazfit-bip-bip-u-pro-bip-lite-s-cor-preto/p/MLB55519060
29;7;CELULARES E TELEFONES;MLB41541670;Smartphone Motorola Moto G35 5g - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai Nfc Tela 6.7 Com Superbrilho - Verde - Vegan Leather;782,28;4,7;38052;4;12/03/2025;É um bom celular pelo valor. A bateria dura bem quando quando está no modo 4gb. Mas qdo muda pra 8gb (4ram + 4booster ) aí ela dura menos. A câmera é muito boa, pois faz vídeo em 4k e boas fotos. Como já uso motorola há alguns anos, a câmera dele de modo geral se destaca em relação a concorrentes, independente do modelo. Este modelo é o único dos mais baratos que grava vídeo em 4k, que é um grande diferencial. Quanto a durabilidade, sem capa ou com capa só o tempo dirá!.;https://www.mercadolivre.com.br/smartphone-motorola-moto-g35-5g-128gb-12gb-4gb-ram8gb-ram-boost-e-camera-50mp-com-ai-nfc-tela-67-com-superbrilho-verde-vegan-leather/p/MLB41541670
30;8;CELULARES E TELEFONES;MLB28965400;Headset Qcy H3 Anc Adaptativo Bluetooth 5.3 Multiponto 60h Cor Azul;298,00;4,9;17793;5;23/03/2024;Fone espetacular. Da uma surra em todas as marcas famosas. Uso para treinar já tô usando 30 dias sem carregar ele. Custo benefício ótimo. Cancelamento de ruído é bom ( não escuto ninguem cvs na academia apenas a música ambiente bem baixa).;https://www.mercadolivre.com.br/headset-qcy-h3-anc-adaptativo-bluetooth-53-multiponto-60h-cor-azul/p/MLB28965400
31;9;CELULARES E TELEFONES;MLB47114363;Celular Samsung Galaxy A56 5g 256gb 8gb Ram Cinza;2396,97;4,9;27911;4;27/06/2025;O celular é lindo, a cor é bem sutil, as laterais são metálicas com uma textura que ajuda não escorregar da mão, tem umas linhas que eu não estava esperando, mas tudo bem, vou me acostumar com elas, acho que fazem parte da tecnologia kkk. As câmeras são muito boas, mas achei bem elevada, poderia ser slim. Pra minha necessidade ele tá ótimo, curtam meu comentário, por favor! obrigada!.;https://www.mercadolivre.com.br/celular-samsung-galaxy-a56-5g-256gb-8gb-ram-cinza/p/MLB47114363
32;10;CELULARES E TELEFONES;MLB36964085;Xiaomi Redmi Note 13 4g 128gb 8gb Ram Mint Green;1349,00;4,8;16112;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/xiaomi-redmi-note-13-4g-128gb-8gb-ram-mint-green/p/MLB36964085
33;11;CELULARES E TELEFONES;MLB28091611;Pulseira Running Compatível Com Amazfit Bip 5 Ultra Large Cor Vermelha/preta;28,98;4,7;383;5;04/11/2024;O produto não é igual da foto, então se for comprar pela foto vai ser enganado, o produto é parecido, a loja entrei em contato para avisar que veio errado e nem deram bola, recomendo o produto mas não a loja.;https://www.mercadolivre.com.br/pulseira-running-compativel-com-amazfit-bip-5-ultra-large-cor-vermelhapreta/p/MLB28091611
34;12;CELULARES E TELEFONES;MLB19037261;Fone De Ouvido Qcy T13 Com 4 Microfones E Bluetooth 5.1 Cor Preto;186,14;4,8;36148;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/fone-de-ouvido-qcy-t13-com-4-microfones-e-bluetooth-51-cor-preto/p/MLB19037261
35;13;CELULARES E TELEFONES;MLB54103525;Pulseira Silicone Sport Lisa Compatível Apple Watch Series 1 2 3 4 5 6 7 8 9 38mm 40mm 41mm Serie 10 Serie 11 42mm Cor Nude;20,37;4,7;932;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/pulseira-silicone-sport-lisa-compativel-apple-watch-series-1-2-3-4-5-6-7-8-9-38mm-40mm-41mm-serie-10-serie-11-42mm-cor-nude/p/MLB54103525
36;14;CELULARES E TELEFONES;MLB47436042;Celular Samsung Galaxy A26 5g 256gb, 8gb Ram, Câmera De 50mp, Ip67, Tela Super Amoled 6.7 , Nfc - Verde;1424,05;4,8;15828;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/celular-samsung-galaxy-a26-5g-256gb-8gb-ram-cmera-de-50mp-ip67-tela-super-amoled-67-nfc-verde/p/MLB47436042
37;15;CELULARES E TELEFONES;MLB58353028;Smartphone Motorola Moto G06 - 128gb 12gb (4gb Ram + 8gb Ram Boost) E Camera 50mp Com Ai Bateria De 5200 Mah Tela 6.9 - Azul Marinho;677,20;4,9;2146;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/smartphone-motorola-moto-g06-128gb-12gb-4gb-ram-8gb-ram-boost-e-camera-50mp-com-ai-bateria-de-5200-mah-tela-69-azul-marinho/p/MLB58353028
38;16;CELULARES E TELEFONES;MLB41262061;Xiaomi Redmi 14c 256gb 8gb Ram Dual Sim Global Black Medianoche;799,00;4,6;10202;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/xiaomi-redmi-14c-256gb-8gb-ram-dual-sim-global-black/p/MLB41262061
39;17;CELULARES E TELEFONES;MLB29761272;Smartphone Samsung Galaxy A05s 4g 128gb 6gb Ram Câmera Traseira Tripla 50mp + 2mp + 2mp + Selfie 13mp Tela 6.7 Preto;721,05;4,8;68948;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/smartphone-samsung-galaxy-a05s-4g-128gb-6gb-ram-cmera-traseira-tripla-50mp-2mp-2mp-selfie-13mp-tela-67-preto/p/MLB29761272
40;18;CELULARES E TELEFONES;MLB50302985;Smartphone Motorola Moto G56 5g - 256gb 16gb (8gb Ram+8gb Ram Boost) Camera 50mp Sony Lytia 600 Certificado De Ultrarresistencia Militar E Ip68 + Ip69 - Verde;1296,00;4,9;7705;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/smartphone-motorola-moto-g56-5g-256gb-16gb-8gb-ram8gb-ram-boost-camera-50mp-sony-lytia-600-certificado-de-ultrarresistencia-militar-e-ip68-ip69-verde/p/MLB50302985
41;19;CELULARES E TELEFONES;MLB1027172672;Apple iPhone 15 Verde 256 Gb - Distribuidor Autorizado;4949,10;4,9;34062;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/apple-iphone-15-verde-256-gb-distribuidor-autorizado/p/MLB1027172672
42;20;CELULARES E TELEFONES;MLB44113899;Celular Samsung Galaxy A16 5g, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Azul Escuro;1749,90;4,8;20478;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/celular-samsung-galaxy-a16-5g-256gb-8gb-ram-cmera-de-ate-50mp-tela-67-nfc-ip54-bateria-5000-mah-azul-escuro/p/MLB44113899
43;1;INFORMÁTICA;MLB48929373;Mouse Sem Fio Recarregável Wireless Optico Led Rgb Ergonômico Sem Fio Para Pc Desktop Notebook Tablet Smartphone Davely Preto;23,76;4,8;62200;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/mouse-sem-fio-recarregavel-wireless-optico-led-rgb-ergonmico-sem-fio-para-pc-desktop-notebook-tablet-smartphone-davely-preto/p/MLB48929373
44;2;INFORMÁTICA;MLB44238532;Controle Gamesir T4 Nova Lite Sem Fio Para Pc Switch Android Ios Steam Hall Effect Cor Azul Celeste;199,94;4,9;5790;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/controle-gamesir-t4-nova-lite-sem-fio-para-pc-switch-android-ios-steam-hall-effect-cor-azul-celeste/p/MLB44238532
45;3;INFORMÁTICA;MLB23959424;Filamento Pla Vermelho Velvet 1kg Premium Impressão Nacional;119,80;4,8;17210;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/filamento-pla-vermelho-velvet-1kg-premium-impresso-nacional/p/MLB23959424
46;4;INFORMÁTICA;MLB28915836;Papel Jojo Fundo Azul Para Sublimação A4 100g - 100 Folhas Cor Azul-celeste;29,60;4,8;6520;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/papel-jojo-fundo-azul-para-sublimaco-a4-100g-100-folhas-cor-azul-celeste/p/MLB28915836
47;5;INFORMÁTICA;MLB50196683;Sony Playstation Store Gift Card R$ 300 (digital);300,00;5,0;21604;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/sony-playstation-store-gift-card-r-300-digital/p/MLB50196683
48;6;INFORMÁTICA;MLB42485998;Alexa Amazon Echo Pop Smart Assistente Virtual Cor Lavanda C2h4r9;327,90;4,9;26236;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/alexa-amazon-echo-pop-smart-assistente-virtual-cor-lavanda-c2h4r9/p/MLB42485998
49;7;INFORMÁTICA;MLB23248364;Mouse Pad Mesa Grande Ergonomico Couro S/ Caramelo Slim 3mm Bordas Costuradas Resistente 90x40cm Eddias Speed Slim Office Minimalista;44,49;4,8;8502;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/mouse-pad-mesa-grande-ergonomico-couro-s-caramelo-slim-3mm-bordas-costuradas-resistente-90x40cm-eddias-speed-slim-office-minimalista/p/MLB23248364
50;8;INFORMÁTICA;MLB38480196;Papel Fotográfico A4 80g Glossy 100 Folhas Adesiva;45,00;4,9;33446;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/papel-fotografico-a4-80g-glossy-100-folhas-adesiva/p/MLB38480196
51;9;INFORMÁTICA;MLB54419409;Filamento Elegoo Rapid Pla+ 2kg 1,75mm Mega Velocidade 600ms Cor Braco E Preto;243,63;4,9;999;5;27/01/2025;Se vc quer um filamento que não te da dor de cabeça alguma , esse é o filamento. Taxa de desperdício baixíssima como podem ver na imagem , em 1kg o desperdício foi esse que seria o primeiro corte e o final do filamento quando sai do sensor de filamento. Ótimo custo benefício e recomendo com total certeza !!!.;https://www.mercadolivre.com.br/filamento-elegoo-rapid-pla-2kg-175mm-mega-velocidade-600ms-cor-braco-e-preto/p/MLB54419409
52;1;ELETRÔNICOS, ÁUDIO E VÍDEO;MLB50981260;Fone De Ouvido Soundcore P20i Bluetooth 5.3 Grave Potente Drivers 10mm 30h Bateria Carregamento Rápido App Personalização De Som Via App Ipx5 2 Mics Ia Para Chamadas Claras Case Compacto Cor Rosa;166,19;4,9;4730;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/fone-de-ouvido-soundcore-p20i-bluetooth-53-grave-potente-drivers-10mm-30h-bateria-carregamento-rapido-app-personalizaco-de-som-via-app-ipx5-2-mics-ia-para-chamadas-claras-case-compacto-cor-rosa/p/MLB50981260
53;2;ELETRÔNICOS, ÁUDIO E VÍDEO;MLB37682640;Alexa Echo Pop Cor Verde Amazon C2h4r9;399,99;4,9;26236;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/alexa-echo-pop-cor-verde-amazon-c2h4r9/p/MLB37682640
54;3;ELETRÔNICOS, ÁUDIO E VÍDEO;MLB62446516;Fone Gatinho Sem Fio Com Led Bluetooth Infantil Meninas Gato Cor Azul;38,92;4,8;714;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/fone-gatinho-sem-fio-com-led-bluetooth-infantil-meninas-gato-cor-azul/p/MLB62446516
55;4;ELETRÔNICOS, ÁUDIO E VÍDEO;MLB54094901;Mini Caixa De Som Bluetooth Caixinha Som Portátil Potente Tws Com Rádio Rgb Inova Cases Caixinha Bluetooth À Prova D'água Ipx67 Cor Verde;75,60;4,7;1205;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/mini-caixa-de-som-bluetooth-caixinha-som-portatil-potente-tws-com-radio-rgb-inova-cases-caixinha-bluetooth-prova-dagua-ipx67-cor-verde/p/MLB54094901
56;5;ELETRÔNICOS, ÁUDIO E VÍDEO;MLB27174916;Fone De Ouvido Sem Fio Bluetooth F9-5 Pares Som Imersivo Powerbank Moderno Bateria Longa Duração Academia Compativel Com Todos Celulares;25,89;4,3;5976;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/fone-de-ouvido-sem-fio-bluetooth-f9-5-pares-som-imersivo-powerbank-moderno-bateria-longa-duraco-academia-compativel-com-todos-celulares/p/MLB27174916
