Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço à vista;Nota Geral;Qtd. Avaliações;Link;Características;Nota Comentário;Data Comentário;Comentário
11;11;Acessórios para Veículos;MLB11976986;Capacete Para Moto Pro Tork Sport Moto 788 Cor Rosa Tamanho Do Capacete 60;110,67;4,6;14063;https://www.mercadolivre.com.br/capacete-para-moto-pro-tork-sport-moto-788-cor-rosa-tamanho-do-capacete-60/p/MLB11976986;;;;
12;12;Acessórios para Veículos;MLB26987256;Macaco Hidraulico Tipo Jacare Até 2 Toneladas Elevação 125-300mm 510085 Com Caixa Plástica Sparta;154,13;4,7;17986;https://www.mercadolivre.com.br/macaco-hidraulico-tipo-jacare-ate-2-toneladas-elevaco-125-300mm-510085-com-caixa-plastica-sparta/p/MLB26987256;;;;
13;13;Acessórios para Veículos;MLB28012638;Kit 3 Pano Reutilizável Multiuso Scott Duramax Com 174 Panos Cor Branco;24,08;4,9;3211;https://www.mercadolivre.com.br/kit-3-pano-reutilizavel-multiuso-scott-duramax-com-174-panos-cor-branco/p/MLB28012638;;;;
14;14;Acessórios para Veículos;MLB25927374;Som Rádio Automotivo Bluetooth Usb Card Sd Aux Fm Mp3 H-tech;57,65;4,7;8351;https://www.mercadolivre.com.br/som-radio-automotivo-bluetooth-usb-card-sd-aux-fm-mp3-h-tech/p/MLB25927374;;;;
15;15;Acessórios para Veículos;MLB-3240706418;Kit Jogo Tapete Automotivo Borracha Fiat 5 Pç + Lixeira;49,81;4,4;449;https://produto.mercadolivre.com.br/MLB-3240706418-kit-jogo-tapete-automotivo-borracha-fiat-5-pc-lixeira-_JM;;;;
16;16;Acessórios para Veículos;MLB37798650;Caneta Retok Tira Riscos Automotivos Diversas Cores Luxcar Cor Preto;24,25;4,3;5828;https://www.mercadolivre.com.br/caneta-retok-tira-riscos-automotivos-diversas-cores-luxcar-cor-preto/p/MLB37798650;;;;
17;17;Acessórios para Veículos;N/A;Capa Chave Canivete Onix Prisma Cobalt Cruze 2013/14/15/16;27,30;4,6;5854;https://www.mercadolivre.com.br/capa-chave-canivete-onix-prisma-cobalt-cruze-2013141516/up/MLBU611904738;;;;
18;18;Acessórios para Veículos;MLB-5274575432;Capa Roupa Chuva Conjunto Motoqueiro Emborrachada Reforçada;96,53;4,8;13816;https://produto.mercadolivre.com.br/MLB-5274575432-capa-roupa-chuva-conjunto-motoqueiro-emborrachada-reforcada-_JM;;;;
19;19;Acessórios para Veículos;MLB54834171;Rádio Pionner Mvh-145br Mp3 Player Som Automotivo Usb Bt;346,98;4,8;2216;https://www.mercadolivre.com.br/radio-pionner-mvh-145br-mp3-player-som-automotivo-usb-bt/p/MLB54834171;;;;
20;20;Acessórios para Veículos;MLB29577526;Capacete Moto Fechado Asx City Solid Preto Fosco Tamanho 60/l;439,00;4,9;12124;https://www.mercadolivre.com.br/capacete-moto-fechado-asx-city-solid-preto-fosco-tamanho-60l/p/MLB29577526;;;;
41;1;Agro;MLB22341225;Pulverizador Agricola Lateral Manual Vonder 6240005000 5 Litros Cor Branco;69,19;4,8;16199;https://www.mercadolivre.com.br/pulverizador-agricola-lateral-manual-vonder-6240005000-5-litros-cor-branco/p/MLB22341225;;;;
42;2;Agro;MLB19141467;Parafusadeira Furadeira Sem Fio 12v Wap Bpf 12k3 Kit Maleta;189,90;4,8;72979;https://www.mercadolivre.com.br/parafusadeira-furadeira-sem-fio-12v-wap-bpf-12k3-kit-maleta/p/MLB19141467;;;;
43;3;Agro;MLB50676394;Lavadora A Jato De Alta Pressão Portátil Recarregável Preto 127/220v 50/60;95,62;4,5;1533;https://www.mercadolivre.com.br/lavadora-a-jato-de-alta-presso-portatil-recarregavel/p/MLB50676394;;;;
44;4;Agro;MLB24040522;Ferrari Bc Acquapump Bomba D Água Periférica 1/2 Cv Cor Amarelo 220v Monofásica;165,90;4,7;22587;https://www.mercadolivre.com.br/ferrari-bc-acquapump-bomba-d-agua-periferica-12-cv-cor-amarelo/p/MLB24040522;;;;
45;5;Agro;MLB15345687;Lavadora De Alta Pressão Wap Ousada Plus 2200 1500w 1750 Psi;419,31;4,7;32929;https://www.mercadolivre.com.br/lavadora-de-alta-presso-wap-ousada-plus-2200-1500w-1750-psi/p/MLB15345687;;;;
46;6;Agro;MLB19757849;Pressurizador De Água Komeco Tp40 G4 120w;268,20;4,8;10931;https://www.mercadolivre.com.br/pressurizador-de-agua-komeco-tp40-g4-120w/p/MLB19757849;;;;
47;7;Agro;MLB23273980;Fertilizante Adubo Mineral Misto Forth Frutas Npk+9 Nutrientes 400g;15,90;4,8;10536;https://www.mercadolivre.com.br/fertilizante-adubo-mineral-misto-forth-frutas-npk9-nutrientes-400g/p/MLB23273980;;;;
48;8;Agro;MLB53361146;Pulverizador Manual Sigma Tools Chantilly 2l Espuma Densa Profissional Vermelho;46,81;4,7;2515;https://www.mercadolivre.com.br/pulverizador-manual-sigma-tools-chantilly-2l-espuma-densa-profissional/p/MLB53361146;;;;
49;9;Agro;MLB14630056;Bomba D´água Periférica 1/2 Hp Bp500 Intech Machine Cor Laranja Frequência 60 Hz;163,00;4,6;16107;https://www.mercadolivre.com.br/bomba-dagua-periferica-12-hp-bp500-intech-machine-cor-laranja-frequncia-60-hz/p/MLB14630056;;;;
50;10;Agro;N/A;Bomba Periferica Auto Aspirante Dancor Dpa-40 1/2 Cv-bivolt Azul 127/220v 60hz Bifásica;295,67;4,8;985;https://www.mercadolivre.com.br/bomba-periferica-auto-aspirante-dancor-dpa40-12-cvbivolt/up/MLBU2467149811;;;;
51;11;Agro;MLB41632498;Pulverizador Borrifador Alta Pressão Snow Foam 2l Manual Profissional Com 3 Bicos Espuma Ativa Automotivo Lavagem Carro Moto Limpeza Detalhamento Jardim Uso Geral Preto;36,99;4,5;2621;https://www.mercadolivre.com.br/pulverizador-borrifador-alta-presso-snow-foam-2l-manual-profissional-com-3-bicos-espuma-ativa-automotivo-lavagem-carro-moto-limpeza-detalhamento-jardim-uso-geral/p/MLB41632498;;;;
52;12;Agro;MLB25371983;Lavadora De Alta Pressão Kärcher Compacta 1500 Psi/libras 1400w 300l/h Com Aplicador De Detergente E Lança Regulável 220v;314,10;4,8;55288;https://www.mercadolivre.com.br/lavadora-de-alta-presso-krcher-compacta-1500-psilibras-1400w-300lh-com-aplicador-de-detergente-e-lanca-regulavel-220v/p/MLB25371983;;;;
53;13;Agro;MLB18611174;Lavadora De Alta Pressão Kärcher K5 Motor A Indução 2.100 Psi/libras 360 L/h 1.900 W Com Lança Turbo E Lança Leque 220v;922,96;4,8;14396;https://www.mercadolivre.com.br/lavadora-de-alta-presso-krcher-k5-motor-a-induco-2100-psilibras-360-lh-1900-w-com-lanca-turbo-e-lanca-leque-220v/p/MLB18611174;;;;
54;14;Agro;MLB38885618;Lavadora De Alta Pressão Electrolux 1650psi 1400w De Potência Com Engate Rápido Easywash Lava Jato Qws1650;404,10;4,8;5790;https://www.mercadolivre.com.br/lavadora-de-alta-presso-electrolux-1650psi-1400w-de-potncia-com-engate-rapido-easywash-lava-jato-qws1650/p/MLB38885618;;;;
55;15;Agro;MLB24084361;Vonder Pc020 Bomba Costal Pulverizador Agricola Manual 20 Litros;156,81;4,7;9978;https://www.mercadolivre.com.br/vonder-pc020-bomba-costal-pulverizador-agricola-manual-20-litros/p/MLB24084361;;;;
56;16;Agro;MLB38897454;Lavadora De Alta Pressão Electrolux 1850psi 1500w Potência Com Aplicador De Detergente Powerwash Ews1850 Lava Jato Lava Car;499,00;4,8;4318;https://www.mercadolivre.com.br/lavadora-de-alta-presso-electrolux-1850psi-1500w-potncia-com-aplicador-de-detergente-powerwash-ews1850-lava-jato-lava-car/p/MLB38897454;;;;
57;17;Agro;MLB49090259;Pulverizador Borrifador Alta Pressão Snow Foam 2l E Bico Preto;38,51;4,6;786;https://www.mercadolivre.com.br/pulverizador-borrifador-alta-presso-snow-foam-2l-e-bico/p/MLB49090259;;;;
58;18;Agro;MLB16098706;Bomba Dagua Motobomba Periférica 1/2 Cv Bp60 Lepono Cor Azul;159,90;4,7;7496;https://www.mercadolivre.com.br/bomba-dagua-motobomba-periferica-12-cv-bp60-lepono-cor-azul/p/MLB16098706;;;;
77;1;Alimentos e Bebidas;MLB15067118;Whey Protein Concentrado Dux Nutrition 1.8 Kg Sabor Chocolate;299,90;4,9;36570;https://www.mercadolivre.com.br/whey-protein-concentrado-dux-nutrition-18-kg-sabor-chocolate/p/MLB15067118;;;;
78;2;Alimentos e Bebidas;MLB19592782;Suplemento Tasty Whey 3w Gourmet Whey Protein Adaptogen Science Pote 900g Sabor Banana;249,00;4,9;47822;https://www.mercadolivre.com.br/suplemento-tasty-whey-3w-gourmet-whey-protein-adaptogen-science-pote-900g-sabor-banana/p/MLB19592782;;;;
79;3;Alimentos e Bebidas;MLB28005474;Whey 100% Hd Refil 900g Black Skull Sabor Morango;199,00;4,8;49825;https://www.mercadolivre.com.br/whey-100-hd-refil-900g-black-skull-sabor-morango/p/MLB28005474;;;;
80;4;Alimentos e Bebidas;MLB41797545;12 Agua Mineral Com Gas Legítima Lindoya Verão Garrafa 500ml;19,35;4,9;3458;https://www.mercadolivre.com.br/12-agua-mineral-com-gas-legitima-lindoya-vero-garrafa-500ml/p/MLB41797545;;;;
81;5;Alimentos e Bebidas;MLB18405766;Azeite De Oliva Extra Virgem Gallo 500 Ml;28,99;4,9;17491;https://www.mercadolivre.com.br/azeite-de-oliva-extra-virgem-gallo-500-ml/p/MLB18405766;;;;
82;6;Alimentos e Bebidas;MLB18405458;Azeite De Oliva Extra Virgem Terras De Camões Vidro 500ml;38,99;4,8;24197;https://www.mercadolivre.com.br/azeite-de-oliva-extra-virgem-terras-de-camoes-vidro-500ml/p/MLB18405458;;;;
83;7;Alimentos e Bebidas;MLB18951803;Pasta De Amendoim Dr. Peanut 650g Sabor Leite Em Pó Com Whey Protein;49,00;4,9;44781;https://www.mercadolivre.com.br/pasta-de-amendoim-dr-peanut-650g-sabor-leite-em-po-com-whey-protein/p/MLB18951803;;;;
84;8;Alimentos e Bebidas;MLB34178051;Café Torrado E Moido União Tradicional Pouch 500g;25,72;4,9;4231;https://www.mercadolivre.com.br/cafe-torrado-e-moido-unio-tradicional-pouch-500g/p/MLB34178051;;;;
85;9;Alimentos e Bebidas;MLB24717135;Barra De Proteína Crisp Bar - Cx 12un - Integralmédica Sabor Duo Chunch;104,99;4,9;26043;https://www.mercadolivre.com.br/barra-de-proteina-crisp-bar-cx-12un-integralmedica-sabor-duo-chunch/p/MLB24717135;;;;
86;10;Alimentos e Bebidas;MLB24719282;Suplemento Em Pó Black Skull 150g Turbo Monohidratada Sabor Uva;21,20;4,7;114832;https://www.mercadolivre.com.br/suplemento-em-po-black-skull-150g-turbo-monohidratada-sabor-uva/p/MLB24719282;;;;
87;11;Alimentos e Bebidas;MLB16200675;Vinagre De Álcool Toscano Galão 5l;13,80;4,9;6451;https://www.mercadolivre.com.br/vinagre-de-alcool-toscano-galo-5l/p/MLB16200675;;;;
88;12;Alimentos e Bebidas;MLB26643973;Azeite O-live Extra Virgem 450ml Acidez Máxima 0.4%;27,99;4,9;4872;https://www.mercadolivre.com.br/azeite-o-live-extra-virgem-450ml-acidez-maxima-04/p/MLB26643973;;;;
89;13;Alimentos e Bebidas;MLB18390354;Feijão Carioca Tipo 1 1kg Camil;19,69;4,9;9994;https://www.mercadolivre.com.br/feijo-carioca-tipo-1-1kg-camil/p/MLB18390354;;;;
90;14;Alimentos e Bebidas;MLB18393188;Café Torrado E Moído Tradicional Caixa 500g Melitta Intenso A Vácuo;32,99;4,9;5707;https://www.mercadolivre.com.br/cafe-torrado-e-moido-tradicional-caixa-500g-melitta-intenso-a-vacuo/p/MLB18393188;;;;
91;15;Alimentos e Bebidas;MLB17964171;Sal Rosa Do Himalaia Fino Smart Integral Em Pouch Sem Glúten 500 G;24,21;4,8;6140;https://www.mercadolivre.com.br/sal-rosa-do-himalaia-fino-smart-integral-em-pouch-sem-gluten-500-g/p/MLB17964171;;;;
92;16;Alimentos e Bebidas;MLB42563317;Supercoffee Lingua De Gato - Classic Size (220g) - Caffeine Army Chocolate Ao Leite;119,90;4,9;5549;https://www.mercadolivre.com.br/supercoffee-lingua-de-gato-classic-size-220g-caffeine-army/p/MLB42563317;;;;
93;17;Alimentos e Bebidas;MLB18305812;Arroz Branco Tipo 1 Camil Pacote 5kg;26,29;4,9;11971;https://www.mercadolivre.com.br/arroz-branco-tipo-1-camil-pacote-5kg/p/MLB18305812;;;;
94;18;Alimentos e Bebidas;MLB18306336;Pack Refrigerante Sem Açúcar Coca-cola Mini Garrafa 12 Unidades 200ml Cada;24,00;4,9;4206;https://www.mercadolivre.com.br/pack-refrigerante-sem-acucar-coca-cola-mini-garrafa-12-unidades-200ml-cada/p/MLB18306336;;;;
95;19;Alimentos e Bebidas;MLB-2196172525;Xarope Dilute Para Drink Soda Italiana Gin Todos Os Sabores;29,90;4,8;3062;https://produto.mercadolivre.com.br/MLB-2196172525-xarope-dilute-para-drink-soda-italiana-gin-todos-os-sabores-_JM;;;;
96;20;Alimentos e Bebidas;MLB19533702;Chiclete Trident Trident Fresh Herbal 8 G 21 U;41,99;4,9;3624;https://www.mercadolivre.com.br/chiclete-trident-trident-fresh-herbal-8-g-21-u/p/MLB19533702;;;;
117;1;Antiguidades e Coleções;MLB18932158;Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-w 30 Cm Branco 127v Azul Polipropileno 6;122,90;4,7;133296;https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-w/p/MLB18932158;;;;
118;2;Antiguidades e Coleções;MLB18708272;Liquidificador Cadence Zoop Contrast 2 Jarras Turbo Ou;149,90;4,8;13116;https://www.mercadolivre.com.br/liquidificador-cadence-zoop-contrast-2-jarras-turbo-ou/p/MLB18708272;;;;
119;3;Antiguidades e Coleções;MLB18607537;Ventilador Oscilante De Parede 50cm 6 Pás Ventisol Monta Fácil 135w Preto;233,60;4,7;6594;https://www.mercadolivre.com.br/ventilador-oscilante-de-parede-50cm-6-pas-ventisol-monta-facil-135w-preto/p/MLB18607537;;;;
120;4;Antiguidades e Coleções;MLB28450534;Tyf Fs1608 Com Pé Ventilador Solaris Fs1608 Preto 127v Plástico 6;179,99;4,3;2469;https://www.mercadolivre.com.br/tyf-fs1608-com-pe-ventilador-solaris-fs1608/p/MLB28450534;;;;
121;5;Antiguidades e Coleções;MLB52645810;Chaveiro São Miguel Arcanjo Príncipe Com Mosquetão Metais Ouro Velho Preto;27,13;4,7;6392;https://www.mercadolivre.com.br/chaveiro-so-miguel-arcanjo-principe-com-mosqueto-metais-ouro-velho/p/MLB52645810;;;;
122;6;Antiguidades e Coleções;MLB23541233;Liquidificador Diamante 2,65 L Com 4 Lâminas 1050w De Potência Cor Preto Britânia;108,00;4,7;13329;https://www.mercadolivre.com.br/liquidificador-diamante-265-l-com-4-lminas-1050w-de-potncia-cor-preto-britnia/p/MLB23541233;;;;
123;7;Antiguidades e Coleções;MLB19143885;Cafeteira Elétrica Desperta Contrast Caf338 Cadence Cor Preto 127v;91,75;4,8;6616;https://www.mercadolivre.com.br/cafeteira-eletrica-desperta-contrast-caf338-cadence-cor-preto/p/MLB19143885;;;;
124;8;Antiguidades e Coleções;MLB19609416;Ventilador De Teto Ventex Yris Silencioso, Ventilador De Teto Com 3 Pás De Madeira Mogno Estrutura Branco/mogno, 1.015m De Diâmetro 1.015 M 220v;268,00;4,8;8344;https://www.mercadolivre.com.br/ventex-ventilador-de-teto-yris-branco-mogno-com-luz-3-pas-520rpm/p/MLB19609416;;;;
125;9;Antiguidades e Coleções;MLB18361812;Electrolux Stk14b Aspirador De Pó Vertical Com Fio 1450w 2 Em 1 Filtro Hepa Branco 127v;649,90;4,9;1732;https://www.mercadolivre.com.br/electrolux-stk14b-aspirador-de-po-vertical-com-fio-1450w-2-em-1-filtro-hepa-branco/p/MLB18361812;;;;
126;10;Antiguidades e Coleções;MLB22316801;Pado Latão 40mm 2 Chaves Cadeado De Latão Lt Não Enferruja Cor Dourado;31,80;4,8;1785;https://www.mercadolivre.com.br/pado-lato-40mm-2-chaves-cadeado-de-lato-lt-no-enferruja-cor-dourado/p/MLB22316801;;;;
127;11;Antiguidades e Coleções;MLB25361839;Bandeira Do Brasil Grande 1,50x0,90cm Para Bastao Metro Poliéster;19,54;4,2;704;https://www.mercadolivre.com.br/bandeira-do-brasil-grande-150x090cm-para-bastao-metro-poliester/p/MLB25361839;;;;
128;12;Antiguidades e Coleções;MLB2058652782;Novo Ventilador De Teto De 60w Com Controle Remoto. Zzzj;39,11;5,0;1;https://www.mercadolivre.com.br/ventilador-teto-silencioso-e27-bivolt-com-controle/p/MLB2058652782;;;;
141;1;Arte, Papelaria e Armarinho;MLB46490996;Masterprint A4 Fotográfico De 250 Folhas De 180g Preto De 250 Unidades Por Kit;121,41;4,9;33639;https://www.mercadolivre.com.br/masterprint-a4-fotografico-de-250-folhas-de-180g-preto-de-250-unidades-por-kit/p/MLB46490996;;;;
142;2;Arte, Papelaria e Armarinho;MLB21590318;Papel A4 Sulfite Cor Branco 75g 500 Folhas Premium Resma;30,98;4,8;22834;https://www.mercadolivre.com.br/papel-a4-sulfite-cor-branco-75g-500-folhas-premium-resma/p/MLB21590318;;;;
143;3;Arte, Papelaria e Armarinho;MLB28461166;6 Marca Texto Neon + 6 Marca Texto Pastel Masterprint Mp 612;19,00;4,9;9471;https://www.mercadolivre.com.br/6-marca-texto-neon-6-marca-texto-pastel-masterprint-mp-612/p/MLB28461166;;;;
144;4;Arte, Papelaria e Armarinho;MLB62797952;Estojo Box Calmfy Organizador Escolar Violeta 100 Lápis Náilon Lisa;30,40;4,8;4414;https://www.mercadolivre.com.br/estojo-box-calmfy-organizador-escolar-violeta-100-lapis-nailon/p/MLB62797952;;;;
145;5;Arte, Papelaria e Armarinho;MLB46513726;Etiquetas Personalizadas Material Escolar 95 Un Prova D'água Cor Colorido Desenho Impresso Meu Tema;59,00;4,8;144;https://www.mercadolivre.com.br/etiquetas-personalizadas-material-escolar-95-un-prova-dagua-cor-colorido-desenho-impresso-meu-tema/p/MLB46513726;;;;
146;6;Arte, Papelaria e Armarinho;MLB24280529;Lápis De Cor Faber-castell Supersoft 24 Cores;67,66;4,9;9307;https://www.mercadolivre.com.br/lapis-de-cor-faber-castell-supersoft-24-cores/p/MLB24280529;;;;
147;7;Arte, Papelaria e Armarinho;N/A;Papel Sulfite Premium Branco A4 75g/m² 500 Folhas Report Branco;29,21;4,8;10525;https://www.mercadolivre.com.br/papel-sulfite-premium-branco-a4-75gm-500-folhas-report/up/MLBU1983422451;;;;
148;8;Arte, Papelaria e Armarinho;MLB22648387;Caneta Esferográfica Cis 0.7 Spiro Clean 24 Unidades;72,98;4,9;5116;https://www.mercadolivre.com.br/caneta-esferografica-cis-07-spiro-clean-24-unidades/p/MLB22648387;;;;
149;9;Arte, Papelaria e Armarinho;MLB55584046;Agenda 2026 Executiva Diária Capa Dura Espiral A5 168 Folhas Preto 2026 Liso;26,24;4,9;800;https://www.mercadolivre.com.br/agenda-2026-executiva-diaria-capa-dura-espiral-a5-168-folhas-preto-2026/p/MLB55584046;;;;
150;10;Arte, Papelaria e Armarinho;MLB55940175;Papel Fotográfico Foto 180g Masterprint A4 Glossy 100 Folhas Cor Branco;29,90;4,9;11284;https://www.mercadolivre.com.br/papel-fotografico-foto-180g-masterprint-a4-glossy-100-folhas-cor-branco/p/MLB55940175;;;;
151;11;Arte, Papelaria e Armarinho;MLB24656724;3 Mantas Asfáltica Aluminizada Telhado Auto Adesiva 45cmx10m;230,76;4,8;4582;https://www.mercadolivre.com.br/3-mantas-asfaltica-aluminizada-telhado-auto-adesiva-45cmx10m/p/MLB24656724;;;;
152;12;Arte, Papelaria e Armarinho;MLB-3885610635;Caderneta Anotação A5 Executiva Tipo Moleskine Couro Sint.;20,90;4,9;3824;https://produto.mercadolivre.com.br/MLB-3885610635-caderneta-anotaco-a5-executiva-tipo-moleskine-couro-sint-_JM;;;;
153;13;Arte, Papelaria e Armarinho;MLB26708166;Estojo Liso Com 2 Divisórias C/alça Box Necessaire Escolar Cor Cinza;27,54;4,8;1562;https://www.mercadolivre.com.br/estojo-liso-com-2-divisorias-calca-box-necessaire-escolar-cor-cinza/p/MLB26708166;;;;
154;14;Arte, Papelaria e Armarinho;MLB60047397;Estojo Escolar Box Organizador Canetas Lápis Com 72 Divisória Grande Alça Cinza;38,99;4,8;3528;https://www.mercadolivre.com.br/estojo-escolar-box-organizador-canetas-lapis-com-72-divisoria-grande-alca-cinza/p/MLB60047397;;;;
155;15;Arte, Papelaria e Armarinho;MLB24729252;Têmpera Guache Acrilex Marrom 250ml Pintura Artística;19,95;4,9;1116;https://www.mercadolivre.com.br/tmpera-guache-acrilex-marrom-250ml-pintura-artistica/p/MLB24729252;;;;
156;16;Arte, Papelaria e Armarinho;MLB37036888;Fita Dupla Face Ultrabond Fixa Forte 9mmx20m Transparente Liso;23,51;4,8;6081;https://www.mercadolivre.com.br/fita-dupla-face-ultrabond-fixa-forte-9mmx20m-transparente/p/MLB37036888;;;;
157;17;Arte, Papelaria e Armarinho;MLB43836338;Papel Offset Branco 240g A4 125 Folhas Quinto Império Impressão Laser Jato De Tinta;39,90;4,8;4088;https://www.mercadolivre.com.br/papel-offset-branco-240g-a4-125-folhas-quinto-imperio-impresso-laser-jato-de-tinta/p/MLB43836338;;;;
175;1;Bebês;MLB17335676;Fraldas Pampers Ajuste Total Pants M 20 Unidades;39,99;4,9;26736;https://www.mercadolivre.com.br/fraldas-pampers-ajuste-total-pants-m-20-unidades/p/MLB17335676;;;;
176;2;Bebês;MLB19137587;Fralda Descartável Huggies Máxima Proteção Tamanho Xxg 140 Unidades Nova Supreme Care Fralda Aberta Com Tecnologia Xtra-flex, Canais Em X Que Se Adaptam Aos Movimentos E Máxima Proteção;219,00;4,9;19700;https://www.mercadolivre.com.br/fralda-descartavel-huggies-maxima-proteco-tamanho-xxg-140-unidades-nova-supreme-care-fralda-aberta-com-tecnologia-xtra-flex-canais-em-x-que-se-adaptam-aos-movimentos-e-maxima-proteco/p/MLB19137587;;;;
177;3;Bebês;MLB44564329;Presente Natura Tododia Sabonetes Em Barra Sortidos 5un 90g;26,59;4,9;17770;https://www.mercadolivre.com.br/presente-natura-tododia-sabonetes-em-barra-sortidos-5un-90g/p/MLB44564329;;;;
178;4;Bebês;MLB14682440;Luvas Descartáveis Antiderrapantes Talge Cor Preto Tamanho P De Nitrilo Em Kit De 10 X 100 Unidades;217,00;4,8;21874;https://www.mercadolivre.com.br/luvas-descartaveis-antiderrapantes-talge-cor-preto-tamanho-p-de-nitrilo-em-kit-de-10-x-100-unidades/p/MLB14682440;;;;
179;5;Bebês;MLB17336057;Fraldas Pampers Recém-nascido Tamanho Rn+ 36 Unidades;58,80;4,9;21981;https://www.mercadolivre.com.br/fraldas-pampers-recem-nascido-tamanho-rn-36-unidades/p/MLB17336057;;;;
180;6;Bebês;MLB19792679;Creatina Turbo Refil 1kg Black Skull Sem Sabor;63,21;4,7;114832;https://www.mercadolivre.com.br/creatina-turbo-refil-1kg-black-skull/p/MLB19792679;;;;
181;7;Bebês;MLB19543873;Fralda Pampers Pants Premium Care Xxg 60 Unidades;185,90;4,9;6741;https://www.mercadolivre.com.br/fralda-pampers-pants-premium-care-xxg-60-unidades/p/MLB19543873;;;;
182;8;Bebês;MLB18715393;Fraldas Pom Pom Protek M X 28 Unidades;34,40;4,9;17379;https://www.mercadolivre.com.br/fraldas-pom-pom-protek-m-x-28-unidades/p/MLB18715393;;;;
183;9;Bebês;MLB17335899;Fraldas Descartáveis Supersec Com 22 Unidades Tamanho Xg Pampers;46,41;4,8;23118;https://www.mercadolivre.com.br/fraldas-descartaveis-supersec-com-22-unidades-tamanho-xg-pampers/p/MLB17335899;;;;
184;10;Bebês;MLB36385668;Kit Alimentação Bebê Infantil Refeição Silicone Cores Cor Rosa-claro;45,49;4,8;6928;https://www.mercadolivre.com.br/kit-alimentaco-beb-infantil-refeico-silicone-cores-cor-rosa-claro/p/MLB36385668;;;;
185;11;Bebês;MLB23780927;Grade Portão Preto Proteção Pets 68 A 73 / 78 A 83 Cm Cachorro Aramado 69cm;57,00;4,6;15236;https://www.mercadolivre.com.br/grade-porto-preto-proteco-pets-68-a-73-78-a-83-cm-cachorro-aramado-69cm/p/MLB23780927;;;;
186;12;Bebês;MLB28537683;Dove Sabonete Em Barra 90g 6 Unidades;26,95;4,9;8280;https://www.mercadolivre.com.br/dove-sabonete-em-barra-90g-6-unidades/p/MLB28537683;;;;
