Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço à vista;Nota Geral;Qtd. Avaliações;Link;Características;Nota Comentário;Data Comentário;Comentário
11;11;Acessórios para Veículos;MLB11976986;Capacete Para Moto Pro Tork Sport Moto 788 Cor Rosa Tamanho Do Capacete 60;110,67;4,6;14063;https://www.mercadolivre.com.br/capacete-para-moto-pro-tork-sport-moto-788-cor-rosa-tamanho-do-capacete-60/p/MLB11976986;;;;
12;12;Acessórios para Veículos;MLB26987256;Macaco Hidraulico Tipo Jacare Até 2 Toneladas Elevação 125-300mm 510085 Com Caixa Plástica Sparta;154,13;4,7;17986;https://www.mercadolivre.com.br/macaco-hidraulico-tipo-jacare-ate-2-toneladas-elevaco-125-300mm-510085-com-caixa-plastica-sparta/p/MLB26987256;;;;
13;13;Acessórios para Veículos;MLB28012638;Kit 3 Pano Reutilizável Multiuso Scott Duramax Com 174 Panos Cor Branco;24,08;4,9;3211;https://www.mercadolivre.com.br/kit-3-pano-reutilizavel-multiuso-scott-duramax-com-174-panos-cor-branco/p/MLB28012638;;;;
14;14;Acessórios para Veículos;MLB25927374;Som Rádio Automotivo Bluetooth Usb Card Sd Aux Fm Mp3 H-tech;57,65;4,7;8351;https://www.mercadolivre.com.br/som-radio-automotivo-bluetooth-usb-card-sd-aux-fm-mp3-h-tech/p/MLB25927374;;;;
15;15;Acessórios para Veículos;MLB-3240706418;Kit Jogo Tapete Automotivo Borracha Fiat 5 Pç + Lixeira;49,81;4,4;449;https://produto.mercadolivre.com.br/MLB-3240706418-kit-jogo-tapete-automotivo-borracha-fiat-5-pc-lixeira-_JM;;;;
16;16;Acessórios para Veículos;MLB37798650;Caneta Retok Tira Riscos Automotivos Diversas Cores Luxcar Cor Preto;24,25;4,3;5828;https://www.mercadolivre.com.br/caneta-retok-tira-riscos-automotivos-diversas-cores-luxcar-cor-preto/p/MLB37798650;;;;
17;17;Acessórios para Veículos;N/A;Capa Chave Canivete Onix Prisma Cobalt Cruze 2013/14/15/16;27,30;4,6;5854;https://www.mercadolivre.com.br/capa-chave-canivete-onix-prisma-cobalt-cruze-2013141516/up/MLBU611904738;;;;
18;18;Acessórios para Veículos;MLB-5274575432;Capa Roupa Chuva Conjunto Motoqueiro Emborrachada Reforçada;96,53;4,8;13816;https://produto.mercadolivre.com.br/MLB-5274575432-capa-roupa-chuva-conjunto-motoqueiro-emborrachada-reforcada-_JM;;;;
19;19;Acessórios para Veículos;MLB54834171;Rádio Pionner Mvh-145br Mp3 Player Som Automotivo Usb Bt;346,98;4,8;2216;https://www.mercadolivre.com.br/radio-pionner-mvh-145br-mp3-player-som-automotivo-usb-bt/p/MLB54834171;;;;
20;20;Acessórios para Veículos;MLB29577526;Capacete Moto Fechado Asx City Solid Preto Fosco Tamanho 60/l;439,00;4,9;12124;https://www.mercadolivre.com.br/capacete-moto-fechado-asx-city-solid-preto-fosco-tamanho-60l/p/MLB29577526;;;;
21;1;Acessórios para Veículos;MLB25887256;Capacete Robocop Escamoteável Fechado Mixs Gladiator Delta S Cor Branco Rosa Fosco Tamanho Do Capacete 62;228,71;4,7;14044;https://www.mercadolivre.com.br/capacete-robocop-escamoteavel-fechado-mixs-gladiator-delta-s-cor-branco-rosa-fosco-tamanho-do-capacete-62/p/MLB25887256;N/A;5;09/02/2024;"Capacete muito bom confortável.
Atendeu as minhas expectativas."
21;1;Acessórios para Veículos;MLB25887256;Capacete Robocop Escamoteável Fechado Mixs Gladiator Delta S Cor Branco Rosa Fosco Tamanho Do Capacete 62;228,71;4,7;14044;https://www.mercadolivre.com.br/capacete-robocop-escamoteavel-fechado-mixs-gladiator-delta-s-cor-branco-rosa-fosco-tamanho-do-capacete-62/p/MLB25887256;N/A;5;06/10/2023;"Produto super confortável,lindo designer! agora sim tenho um capacete de alta qualidade,quem quiser comprar desse tipo de capacete. Pode comprar sem medo além de lindo e confortável,tenho a cabeça um pouco grande comprei o número 60 e ficou muito bom!.
Espero que meu comentário lhe ajude a comprar seu capacete também."
21;1;Acessórios para Veículos;MLB25887256;Capacete Robocop Escamoteável Fechado Mixs Gladiator Delta S Cor Branco Rosa Fosco Tamanho Do Capacete 62;228,71;4,7;14044;https://www.mercadolivre.com.br/capacete-robocop-escamoteavel-fechado-mixs-gladiator-delta-s-cor-branco-rosa-fosco-tamanho-do-capacete-62/p/MLB25887256;N/A;4;16/08/2023;Aparentemente é bom, achei algumas partes frágil, más só o tempo irá dizer. A cor e o modelo é igual da postagem.
21;1;Acessórios para Veículos;MLB25887256;Capacete Robocop Escamoteável Fechado Mixs Gladiator Delta S Cor Branco Rosa Fosco Tamanho Do Capacete 62;228,71;4,7;14044;https://www.mercadolivre.com.br/capacete-robocop-escamoteavel-fechado-mixs-gladiator-delta-s-cor-branco-rosa-fosco-tamanho-do-capacete-62/p/MLB25887256;N/A;4;10/06/2023;Goste do capacete confortável, não fica com a estica da cabeça enorme bem macio por dentro peguei número 58 ficou perfeito nenbapertado nen grande a única coisa que achei q poderia melhorar e o acabamento da parte de cima da frente a telinha que veio meio folgada mais fora isso achei ótimo pelo valor obs, grafismo incrível lindo.
21;1;Acessórios para Veículos;MLB25887256;Capacete Robocop Escamoteável Fechado Mixs Gladiator Delta S Cor Branco Rosa Fosco Tamanho Do Capacete 62;228,71;4,7;14044;https://www.mercadolivre.com.br/capacete-robocop-escamoteavel-fechado-mixs-gladiator-delta-s-cor-branco-rosa-fosco-tamanho-do-capacete-62/p/MLB25887256;N/A;4;19/03/2025;Ele é muito útil. Comprei pq odiava ter que tirar o óculos e colocar o capacete pra encaixar o óculos de novo. Então ele cumpre a utilidade que eu queria. Quero avisar que o capacete é bem pesado, eu senti uma grande diferença desse pro velhinho que eu usava. Como vocês podem ver na foto na parte do queixo ele não tem aquelas proteções dos capacetes caros, ou seja, as entradas de ar dele são falsas e entrar ar por baixo. Dessa forma se você for passar por um lugar com muita poeira/terra tem o risco de entrar no olho então cuidado!!! mas pelo valor compensa.
22;2;Acessórios para Veículos;MLB24783436;Modulo Taramps Ts400x4 Potencia De 400watts 2 Ohms Amplificador 400rms T400 4 Canais Som Automotivo 2 Ohms Rca Ts 400x4 Crossover Branco;163,84;4,9;15428;https://www.mercadolivre.com.br/modulo-taramps-ts400x4-potencia-de-400watts-2-ohms-amplificador-400rms-t400-4-canais-som-automotivo-2-ohms-rca-ts-400x4-crossover/p/MLB24783436;N/A;5;31/01/2025;Muito top esse módulo!.
22;2;Acessórios para Veículos;MLB24783436;Modulo Taramps Ts400x4 Potencia De 400watts 2 Ohms Amplificador 400rms T400 4 Canais Som Automotivo 2 Ohms Rca Ts 400x4 Crossover Branco;163,84;4,9;15428;https://www.mercadolivre.com.br/modulo-taramps-ts400x4-potencia-de-400watts-2-ohms-amplificador-400rms-t400-4-canais-som-automotivo-2-ohms-rca-ts-400x4-crossover/p/MLB24783436;N/A;5;10/09/2025;Sem texto
22;2;Acessórios para Veículos;MLB24783436;Modulo Taramps Ts400x4 Potencia De 400watts 2 Ohms Amplificador 400rms T400 4 Canais Som Automotivo 2 Ohms Rca Ts 400x4 Crossover Branco;163,84;4,9;15428;https://www.mercadolivre.com.br/modulo-taramps-ts400x4-potencia-de-400watts-2-ohms-amplificador-400rms-t400-4-canais-som-automotivo-2-ohms-rca-ts-400x4-crossover/p/MLB24783436;N/A;5;10/11/2017;Produto de excelente qualidade. Liguei um par de 6x6 em um canal, um par de 6x9 em outro e liguei um cara preta da pioneer em bridge nos outros dois canais. Dá um ótimo som pra quem tem pouco pra investir em módulo. Super recomendo! graves fortes e definição sonora.
22;2;Acessórios para Veículos;MLB24783436;Modulo Taramps Ts400x4 Potencia De 400watts 2 Ohms Amplificador 400rms T400 4 Canais Som Automotivo 2 Ohms Rca Ts 400x4 Crossover Branco;163,84;4,9;15428;https://www.mercadolivre.com.br/modulo-taramps-ts400x4-potencia-de-400watts-2-ohms-amplificador-400rms-t400-4-canais-som-automotivo-2-ohms-rca-ts-400x4-crossover/p/MLB24783436;N/A;5;24/10/2024;Boa tarde vou instalar ele amanhã para saber está funcionando perfeitamente.
22;2;Acessórios para Veículos;MLB24783436;Modulo Taramps Ts400x4 Potencia De 400watts 2 Ohms Amplificador 400rms T400 4 Canais Som Automotivo 2 Ohms Rca Ts 400x4 Crossover Branco;163,84;4,9;15428;https://www.mercadolivre.com.br/modulo-taramps-ts400x4-potencia-de-400watts-2-ohms-amplificador-400rms-t400-4-canais-som-automotivo-2-ohms-rca-ts-400x4-crossover/p/MLB24783436;N/A;5;28/05/2022;Ótimo produto fiquei d boca aberta com esse módulo o bicho e pequeno mas tem pontencia n vdd eu comprei ele s pra usar uma caixa capetinha como ema miséria de um estetsom deu defeito aí coloquei esse pequeno q d surra em m grande vale cada centavo esse módulo da taramps.
23;3;Acessórios para Veículos;MLB18464287;Capacete Para Moto Aberto Pro Tork New Liberty Three Three Cap-490ptf Cor Negro Amarelo Sólido Brilhante 58;122,77;4,7;51026;https://www.mercadolivre.com.br/capacete-para-moto-aberto-pro-tork-new-liberty-three-three-cap-490ptf-cor-negro/p/MLB18464287;N/A;5;06/04/2018;O capacete é bonito, razoavelmente bem acabado e feito com bons materiais. A viseira tem 2 mm de espessura, mas é cristalina e não distorce (nem o meu nem o da minha esposa apresentaram deformação). O casco interno do capacete é maior do que o padrão e se você comprar o número correto vai ficar folgado. Outros usuários avisaram sobre isso e comprei os dois capacetes um número menor que o padrão e vestiram muito bem. O ponto negativo é a falta de um material mais largo e confortável na cinta jugular. É um ótimo segundo capacete, ideal para passeios dentro da cidade. Não recomendo andar com ele em vias expressas ou estradas. A avaliação leva em conta que o capacete custa menos do que um capacete de bicicleta! não espere grande proteção ou materiais luxuosos, mas realmente é um excelente custo benefício, por isso dou 5 estrelas!.
23;3;Acessórios para Veículos;MLB18464287;Capacete Para Moto Aberto Pro Tork New Liberty Three Three Cap-490ptf Cor Negro Amarelo Sólido Brilhante 58;122,77;4,7;51026;https://www.mercadolivre.com.br/capacete-para-moto-aberto-pro-tork-new-liberty-three-three-cap-490ptf-cor-negro/p/MLB18464287;N/A;4;09/08/2023;"Pelo valor vale a pena, mas é capacete pra durar 1 a 2 anos, espuma fraca, provavelmente vai murchar rápido.
Visualmente bonito, único detalhe é que a peça de plástico lateral q prende a viseira soltou 2 vazes e perdi em menos de 1 semana. Fica escapando, li nos comentários q outros tiveram problema com isso e eu tbn tive agora.
Pra quem quer algo bonito e barato recomendo, mas aperte a peça lateral antes de usar bem forte."
23;3;Acessórios para Veículos;MLB18464287;Capacete Para Moto Aberto Pro Tork New Liberty Three Three Cap-490ptf Cor Negro Amarelo Sólido Brilhante 58;122,77;4,7;51026;https://www.mercadolivre.com.br/capacete-para-moto-aberto-pro-tork-new-liberty-three-three-cap-490ptf-cor-negro/p/MLB18464287;N/A;5;04/07/2023;"Pelo valor muito bom e confortável.
Comprei 58 e serviu certinho."
23;3;Acessórios para Veículos;MLB18464287;Capacete Para Moto Aberto Pro Tork New Liberty Three Three Cap-490ptf Cor Negro Amarelo Sólido Brilhante 58;122,77;4,7;51026;https://www.mercadolivre.com.br/capacete-para-moto-aberto-pro-tork-new-liberty-three-three-cap-490ptf-cor-negro/p/MLB18464287;N/A;5;13/12/2024;Amei meu capacete a cor linda, preto fosco, a viseira maravilhosa bem fixa não é mole, sem nenhuma avaria, a espuma bem reforçada ficou bem fixa na cabeça, gostei muito.
23;3;Acessórios para Veículos;MLB18464287;Capacete Para Moto Aberto Pro Tork New Liberty Three Three Cap-490ptf Cor Negro Amarelo Sólido Brilhante 58;122,77;4,7;51026;https://www.mercadolivre.com.br/capacete-para-moto-aberto-pro-tork-new-liberty-three-three-cap-490ptf-cor-negro/p/MLB18464287;N/A;5;15/06/2024;Bom vai ser muito útil.
24;4;Acessórios para Veículos;MLB24702106;Capacete Integral Robocop Stronger Faster Gladiator Etceter Cor Cinza/azul Tamanho Do Capacete 62 Fosco;228,71;4,6;20686;https://www.mercadolivre.com.br/capacete-integral-robocop-stronger-faster-gladiator-etceter-cor-cinzaazul-tamanho-do-capacete-62/p/MLB24702106;N/A;4;04/05/2021;"Opinião sincera de quem pesquisou muito e estava com receio de comprar este cap. Nunca tive um escamoteável e sempre quiz.
Para a cidade o cap é top, lindo de mais, seguro, rocob muito prático e fácil de abrir ou fechar, leve, muito confortável, acertaram no produto. Escolha perfeita.
Para a estrada, ""utilizo para trabalhar, rodo 50 km na pista dia, média de 100 km velocidade"".
O cap é leve não pesa no fim do trajeto por causa do impacto do vento, muito confortável ajusta certinho, a cinta é de fácil remoção. Muito pouco a reclamar.
Pontos negativo somente para a pista, na cidade não tem pontos negativos.
Vento. Entra vento sim, pouco mas entra, não tem quebra vento de queixo e de nariz, nas orelhas o vento não chega, ótima vedação das espumas.
Barulho, pouca coisa, as espumas são espessas e fica um vão na orelha que não aperta a orelha e o vento não chega, frio na orelha é zero.
Chuva. Não sei se entra água pq não peguei chuva, mas acho q vai entrar sim, um pequeno vão em cima da viseira.
Visibilidade. Tenho um outro cap, peels, a viseira dele é maior, já este é menor por causa da queixeira, demorei para me adaptar nisto. Mas já me acostumei.
Tamanho, peguei um número abaixo, o peels que já tenho é 58, este peguei 56, perfeito.
Resumo, para a cidade nota 10, sem erro. Para a pista nota 9.
Agora se vc quer algo melhor, zero de vento, zero de barulho, óculos de sol interno, então gasta 450, 500 contos em um outro cap. Hoje eu paguei 169,90 na promoção.
Vlw, abraços."
24;4;Acessórios para Veículos;MLB24702106;Capacete Integral Robocop Stronger Faster Gladiator Etceter Cor Cinza/azul Tamanho Do Capacete 62 Fosco;228,71;4,6;20686;https://www.mercadolivre.com.br/capacete-integral-robocop-stronger-faster-gladiator-etceter-cor-cinzaazul-tamanho-do-capacete-62/p/MLB24702106;N/A;5;05/05/2023;"Eu amei e muito bom confortável top de verdade.
Gostoso de se usar."
24;4;Acessórios para Veículos;MLB24702106;Capacete Integral Robocop Stronger Faster Gladiator Etceter Cor Cinza/azul Tamanho Do Capacete 62 Fosco;228,71;4,6;20686;https://www.mercadolivre.com.br/capacete-integral-robocop-stronger-faster-gladiator-etceter-cor-cinzaazul-tamanho-do-capacete-62/p/MLB24702106;N/A;4;19/02/2024;Apesar de eu ter comprado por engano esse modelo dessa loja, preciso dizer que é ótimo! veio sim com alguns detalhes de acabamento mas eu tive sorte que veio 95% perfeito! minha moto é bis e não acho que combine 😂 a forma desse capacete é grandona. Bem grandona. Pedi 58 e não é que fica largo pois é cheio de enchimento por dentro. Mas a forma em si é grandona, estranhei logo de cara. Mas já me acostumei, eu gostei bastante mesmo. Graças a deus mais uma compra pela internet em que eu termino feliz. ✨🤠👍.
24;4;Acessórios para Veículos;MLB24702106;Capacete Integral Robocop Stronger Faster Gladiator Etceter Cor Cinza/azul Tamanho Do Capacete 62 Fosco;228,71;4,6;20686;https://www.mercadolivre.com.br/capacete-integral-robocop-stronger-faster-gladiator-etceter-cor-cinzaazul-tamanho-do-capacete-62/p/MLB24702106;N/A;5;08/04/2024;Gostei conforme anunciado.
24;4;Acessórios para Veículos;MLB24702106;Capacete Integral Robocop Stronger Faster Gladiator Etceter Cor Cinza/azul Tamanho Do Capacete 62 Fosco;228,71;4,6;20686;https://www.mercadolivre.com.br/capacete-integral-robocop-stronger-faster-gladiator-etceter-cor-cinzaazul-tamanho-do-capacete-62/p/MLB24702106;N/A;5;06/11/2023;Comprei tamanho 56, coube certinho!.
25;5;Acessórios para Veículos;MLB24293583;V-mol 1,5lt. Shampoo Desengraxante Lavagem Automotiva Vonixx;34,50;4,9;11417;https://www.mercadolivre.com.br/v-mol-15lt-shampoo-desengraxante-lavagem-automotiva-vonixx/p/MLB24293583;N/A;5;21/07/2024;Excelente, faz uma espuma bem densa, uso a proporção de 50ml/1000ml de água.
25;5;Acessórios para Veículos;MLB24293583;V-mol 1,5lt. Shampoo Desengraxante Lavagem Automotiva Vonixx;34,50;4,9;11417;https://www.mercadolivre.com.br/v-mol-15lt-shampoo-desengraxante-lavagem-automotiva-vonixx/p/MLB24293583;N/A;5;17/08/2023;Produto de excelente qualidade. Recomendo.
25;5;Acessórios para Veículos;MLB24293583;V-mol 1,5lt. Shampoo Desengraxante Lavagem Automotiva Vonixx;34,50;4,9;11417;https://www.mercadolivre.com.br/v-mol-15lt-shampoo-desengraxante-lavagem-automotiva-vonixx/p/MLB24293583;N/A;5;09/08/2023;Top me surpreendeu.
25;5;Acessórios para Veículos;MLB24293583;V-mol 1,5lt. Shampoo Desengraxante Lavagem Automotiva Vonixx;34,50;4,9;11417;https://www.mercadolivre.com.br/v-mol-15lt-shampoo-desengraxante-lavagem-automotiva-vonixx/p/MLB24293583;N/A;5;03/02/2024;Produto excelente, deixei cair na pintura com diluição 1/10 produto estava muito forte, caiu na pintura mas enxaguei logo em seguida, tirou um pouco da brilho mas passei uma cera e o brilho voltou na hora, resumindo só limpou mas não agrediu a pintura, recomendo o produto de olhos fechados.
25;5;Acessórios para Veículos;MLB24293583;V-mol 1,5lt. Shampoo Desengraxante Lavagem Automotiva Vonixx;34,50;4,9;11417;https://www.mercadolivre.com.br/v-mol-15lt-shampoo-desengraxante-lavagem-automotiva-vonixx/p/MLB24293583;N/A;5;21/11/2023;Produto concentrado, muito forte mesmo, para lavagens de terra, barro, ou até mesmo algumas oleosidades, lava muito bem desde que preparada uma solução adequada para o nível de sujeira ao qual o veículo se encontra, usem botas e luvas porque pode e vai agredir sua pele com certeza, recomendo a todos do mercado livre, o produto cumpre bem sua função!.
26;6;Acessórios para Veículos;MLB-4015710059;Scanner Automotivo Bluetooth Obd2 Android - Entrega Imediata;26,18;4,6;11554;https://produto.mercadolivre.com.br/MLB-4015710059-scanner-automotivo-bluetooth-obd2-android-entrega-imediata-_JM;N/A;5;30/08/2025;Top funciona bem. Porém fica desconectando mais da pra usar ver os defeitos, mecânico me cobrou 800reais pra arrumar meu carro pois estava falhando e fraco e consumindo muito combustível, mecânico desonesto falou que precisava trocar bobina cabos de velas e vela e fazer limpeza de bico, passei esse scanner, baixei app paguei os 10 reais pra usar a função pro que é mais completa e era apenas sujeira no bico do 4 cilindro, removi o bico fiz limpeza com car80 e voltou a funcionar perfeitamente. Fiz a remoção da luz de injeção pelo app e boa gastei 20 reais com car80 e 10 reais com app. Economizei 770reais. Pra um scanner de menos de 30 reais é sensacional mesmo desconectando as vezes. Produto ótimo recomendo.
26;6;Acessórios para Veículos;MLB-4015710059;Scanner Automotivo Bluetooth Obd2 Android - Entrega Imediata;26,18;4,6;11554;https://produto.mercadolivre.com.br/MLB-4015710059-scanner-automotivo-bluetooth-obd2-android-entrega-imediata-_JM;N/A;5;27/06/2025;Recomendo, meu carro tinha mais de 1 ano com a luz da injeçao acesa e ninguem conseguia descobrir o problem, e com o scaner obd2 descobrir rapindinho e ainda apaguei a falha na ecu do veiculo.
26;6;Acessórios para Veículos;MLB-4015710059;Scanner Automotivo Bluetooth Obd2 Android - Entrega Imediata;26,18;4,6;11554;https://produto.mercadolivre.com.br/MLB-4015710059-scanner-automotivo-bluetooth-obd2-android-entrega-imediata-_JM;N/A;5;12/06/2025;"Tentei em dois aplicativos, o que consegui usar foi o obdocker. Meu carro estava com a luz de injeção eletrônica acesa, quando o app detectou, cliquei em ""limpar"" e ao desligar a meia chave e ligar novamente ela já sumiu.
O produto é muito bom, cumpre com sua função. Somente os apps que é um pouco complicado de conectar ao scanner. Mas resolveu o problema."
26;6;Acessórios para Veículos;MLB-4015710059;Scanner Automotivo Bluetooth Obd2 Android - Entrega Imediata;26,18;4,6;11554;https://produto.mercadolivre.com.br/MLB-4015710059-scanner-automotivo-bluetooth-obd2-android-entrega-imediata-_JM;N/A;5;13/08/2025;"Funciona bem, desde que seja usado o aplicativo certo, pois não deu certo com quase nenhum dos aplicativos da play store. O único que funcionou com ele foi o ""car scanner elm obd2"", da ""car scanner llc""."
26;6;Acessórios para Veículos;MLB-4015710059;Scanner Automotivo Bluetooth Obd2 Android - Entrega Imediata;26,18;4,6;11554;https://produto.mercadolivre.com.br/MLB-4015710059-scanner-automotivo-bluetooth-obd2-android-entrega-imediata-_JM;N/A;5;03/07/2025;Muito bom consegui ver até km original pelo aplicativo meu carro foi baixado 60. 000 km.
26;6;Acessórios para Veículos;MLB-4015710059;Scanner Automotivo Bluetooth Obd2 Android - Entrega Imediata;26,18;4,6;11554;https://produto.mercadolivre.com.br/MLB-4015710059-scanner-automotivo-bluetooth-obd2-android-entrega-imediata-_JM;N/A;5;02/07/2025;Fiz o teste tudo ok limpou os códigos q tava aparecendo , graças a deus deu tudo certo, obrigado mercado livre,tmjs.
26;6;Acessórios para Veículos;MLB-4015710059;Scanner Automotivo Bluetooth Obd2 Android - Entrega Imediata;26,18;4,6;11554;https://produto.mercadolivre.com.br/MLB-4015710059-scanner-automotivo-bluetooth-obd2-android-entrega-imediata-_JM;N/A;5;10/06/2025;Muito bom, funcionou de primeira. Usei no iphone com o app car scanner e consegui ler os erros e apagar a luz da injeção em um ônix 2020.
26;6;Acessórios para Veículos;MLB-4015710059;Scanner Automotivo Bluetooth Obd2 Android - Entrega Imediata;26,18;4,6;11554;https://produto.mercadolivre.com.br/MLB-4015710059-scanner-automotivo-bluetooth-obd2-android-entrega-imediata-_JM;N/A;5;28/07/2025;"Elm 327 mini interface suporta all obdii protocola, é uma ferramenta que auxiliar no diagnóstico mais simples e direto.
Excelente para quem está começando."
26;6;Acessórios para Veículos;MLB-4015710059;Scanner Automotivo Bluetooth Obd2 Android - Entrega Imediata;26,18;4,6;11554;https://produto.mercadolivre.com.br/MLB-4015710059-scanner-automotivo-bluetooth-obd2-android-entrega-imediata-_JM;N/A;5;04/08/2025;Sem texto
26;6;Acessórios para Veículos;MLB-4015710059;Scanner Automotivo Bluetooth Obd2 Android - Entrega Imediata;26,18;4,6;11554;https://produto.mercadolivre.com.br/MLB-4015710059-scanner-automotivo-bluetooth-obd2-android-entrega-imediata-_JM;N/A;5;24/08/2025;"Não consegui conectar até agora.
Se tem um aplicativo que funciona tudo gratuito.
Favor me enviar o link.
Aguardando."
27;7;Acessórios para Veículos;N/A;Scanner Automotivo Bluetooth Obd2 Eml 327 Android Ios Obdii;26,09;4,5;10775;https://www.mercadolivre.com.br/scanner-automotivo-bluetooth-obd2-eml-327-android-ios-obdii/up/MLBU1458199008;N/A;4;28/08/2023;Funcionou com o cabo adaptador porém o único aplicativo que forneceu um pouco mais de informação e menu mais intuitivo fo car scanner nós demais q testei não conectou e outros que conetaramforam menus confusos.
27;7;Acessórios para Veículos;N/A;Scanner Automotivo Bluetooth Obd2 Eml 327 Android Ios Obdii;26,09;4,5;10775;https://www.mercadolivre.com.br/scanner-automotivo-bluetooth-obd2-eml-327-android-ios-obdii/up/MLBU1458199008;N/A;5;20/07/2023;"O app do produto indicado na caixa, é imediatamente bloqueado pelo celular, com risco de contaminação.
Mas consegui achar um app bem fácil e por um valor bem acessível.
Quanto ao produto ele é bom.
Estava com um problema de bobina, ele indicou a bobina correta para realizar a troca, sem ser enganado pelos mecânicos.
Minha opinião é que fale bem apena ter um em casa."
27;7;Acessórios para Veículos;N/A;Scanner Automotivo Bluetooth Obd2 Eml 327 Android Ios Obdii;26,09;4,5;10775;https://www.mercadolivre.com.br/scanner-automotivo-bluetooth-obd2-eml-327-android-ios-obdii/up/MLBU1458199008;N/A;5;07/12/2023;"Funcionou perfeitamente, porém tem que comprar o cabo compatível com sua moto. Usei na moto yamaha, o equipamento pede o veículo e moto não tem, mas vc coloca como "" outros"" daí ele acha automático. Só usei pra apagar luz de injeção, pois girei a roda dianteira sem o sensor de abs fixado , daí acendeu a luz. Mecânico cobra 150 só para apagar, gastei 50 com o cabo."
27;7;Acessórios para Veículos;N/A;Scanner Automotivo Bluetooth Obd2 Eml 327 Android Ios Obdii;26,09;4,5;10775;https://www.mercadolivre.com.br/scanner-automotivo-bluetooth-obd2-eml-327-android-ios-obdii/up/MLBU1458199008;N/A;5;09/09/2024;Gostei logo de cara detectou 3 falhas , e apaguei a luz de injeção, gostei porque posso levar no mecânico sabendo exatamente onde ser encontra um erro, usei o app car scanner. Renault symbol 2011 1. 6. 8v.
